filename,status,set,number,fullName,imageField,sourceUrl,contentType
001 - 7 - Captain Hook - Forceful Duelist.jpg,downloaded,1,7,Captain Hook - Forceful Duelist,full,https://api.lorcana.ravensburger.com/images/en/promo1/7_719ee5d862ae1ed969144ac66b9e0527e70b5f34.jpg,image/jpeg;charset=UTF-8
001 - 7 - HeiHei - Boat Snack.jpg,downloaded,1,7,HeiHei - Boat Snack,full,https://api.lorcana.ravensburger.com/images/en/set1/7_ba58282d94d84de5e8d6675845a1a17f90f104c0.jpg,image/jpeg;charset=UTF-8
001 - 7 - Hercules - Manipulated Hero.jpg,downloaded,1,7,Hercules - Manipulated Hero,full,https://api.lorcana.ravensburger.com/images/en/quest1/7_e8ff8640eb47816a8fc406077327c96ffefef674.jpg,image/jpeg;charset=UTF-8
001 - 8 - Jafar - Double-Crossing Vizier.jpg,downloaded,1,8,Jafar - Double-Crossing Vizier,full,https://api.lorcana.ravensburger.com/images/en/quest1/8_8b3580a1be24a10dc07f3dbdecb8b12145298831.jpg,image/jpeg;charset=UTF-8
001 - 8 - Kuzco - Temperamental Emperor.jpg,downloaded,1,8,Kuzco - Temperamental Emperor,full,https://api.lorcana.ravensburger.com/images/en/challenge1/8_ed492b373e5a8049ce3dc162683fc52b879dbc66.jpg,image/jpeg;charset=UTF-8
001 - 8 - LeFou - Bumbler.jpg,downloaded,1,8,LeFou - Bumbler,full,https://api.lorcana.ravensburger.com/images/en/set1/8_788a1c9776d68562703065ecc6c62f0e61e8918f.jpg,image/jpeg;charset=UTF-8
001 - 8 - Mickey Mouse - Detective.jpg,downloaded,1,8,Mickey Mouse - Detective,full,https://api.lorcana.ravensburger.com/images/en/promo1/8_3a76af024141d7bf19b13aee1fb17571c6f80444.jpg,image/jpeg;charset=UTF-8
001 - 9 - Dragon Fire.jpg,downloaded,1,9,Dragon Fire,full,https://api.lorcana.ravensburger.com/images/en/challenge2/9_2cbea7707b0ecf639c53a3ac5038c107d961dacc.jpg,image/jpeg;charset=UTF-8
001 - 9 - HeiHei - Boat Snack.jpg,downloaded,1,9,HeiHei - Boat Snack,full,https://api.lorcana.ravensburger.com/images/en/promo1/9_0d8b22713893ad5d9491588fe8618b1e170393c0.jpg,image/jpeg;charset=UTF-8
001 - 9 - Jetsam - Wicked Whisperer.jpg,downloaded,1,9,Jetsam - Wicked Whisperer,full,https://api.lorcana.ravensburger.com/images/en/quest1/9_45e1ee40a2ec8c1c0d3e2a8a5271025a6d765785.jpg,image/jpeg;charset=UTF-8
001 - 9 - Lilo - Making a Wish.jpg,downloaded,1,9,Lilo - Making a Wish,full,https://api.lorcana.ravensburger.com/images/en/set1/9_205d39935cf65005567f20ee0da223b2c47733ef.jpg,image/jpeg;charset=UTF-8
001 - 10 - A Whole New World.jpg,downloaded,1,10,A Whole New World,full,https://api.lorcana.ravensburger.com/images/en/challenge1/10_d170b8d9f5f552ad50fbe13a57d5e0f99e7506a6.jpg,image/jpeg;charset=UTF-8
001 - 10 - Let it Go.jpg,downloaded,1,10,Let it Go,full,https://api.lorcana.ravensburger.com/images/en/challenge2/10_484c17f6af6ac4471206386041b22757038c6059.jpg,image/jpeg;charset=UTF-8
